id, H, T, MWDIR
202105082233.jpg,0.35,2.65,84.00
202105090033.jpg,0.45,2.62,232.00
202105090133.jpg,0.38,2.86,249.00
202105091233.jpg,0.45,3.25,65.00
202105091333.jpg,0.49,2.86,66.00
202105091433.jpg,0.56,3.29,66.00
202105091533.jpg,0.58,3.43,58.00
202105091633.jpg,0.64,3.21,58.00
202105091733.jpg,0.63,3.85,51.00
202105091833.jpg,0.62,3.76,49.00
202105091933.jpg,0.62,3.58,39.00
202105092033.jpg,0.65,3.56,20.00
202105092133.jpg,0.63,3.29,16.00
202105092233.jpg,0.55,3.40,349.00
202105101133.jpg,0.73,5.32,310.00
202105101233.jpg,0.80,5.34,319.00
202105101333.jpg,0.84,5.36,52.00
202105101433.jpg,0.76,4.89,90.00
202105101533.jpg,0.82,4.59,40.00
202105101633.jpg,0.83,4.77,90.00
202105101733.jpg,0.92,4.27,88.00
202105101833.jpg,0.96,4.47,61.00
202105101933.jpg,0.98,4.18,78.00
202105102033.jpg,1.18,4.19,85.00
202105102133.jpg,1.04,4.20,92.00
202105102233.jpg,1.03,4.34,87.00
202105110033.jpg,0.90,4.23,78.00
202105110133.jpg,0.68,3.77,75.00
202105111133.jpg,0.80,4.51,110.00
202105111233.jpg,0.70,4.61,104.00
202105111333.jpg,0.71,4.38,95.00
202105111433.jpg,0.63,4.25,96.00
202105111533.jpg,0.61,4.18,103.00
202105111633.jpg,0.62,4.21,76.00
202105111733.jpg,0.59,4.19,55.00
202105111833.jpg,0.55,4.23,73.00
202105111933.jpg,0.53,3.80,84.00
202105112033.jpg,0.60,3.02,91.00
202105112133.jpg,0.59,3.13,83.00
202105112233.jpg,0.69,3.82,91.00
202105120033.jpg,0.58,3.63,70.00
202105120133.jpg,0.57,3.61,69.00
202105121133.jpg,0.56,3.01,101.00
202105121233.jpg,0.54,3.39,93.00
202105121333.jpg,0.52,3.50,93.00
202105121433.jpg,0.49,3.13,105.00
202105121533.jpg,0.46,3.27,86.00
202105121633.jpg,0.41,3.36,96.00
202105121733.jpg,0.36,3.18,95.00
202105121833.jpg,0.34,3.27,94.00
202105121933.jpg,0.35,3.58,86.00
202105122033.jpg,0.30,2.74,79.00
202105122133.jpg,0.28,2.98,96.00
202105122233.jpg,0.25,2.86,86.00
202105130033.jpg,0.21,2.89,81.00
202105130133.jpg,0.20,2.96,89.00
202105131133.jpg,0.08,2.53,57.00
202105131233.jpg,0.08,3.45,237.00
202105131333.jpg,0.07,3.50,128.00
202105131433.jpg,0.06,3.12,204.00
202105131533.jpg,0.06,3.08,276.00
202105131633.jpg,0.06,4.27,289.00
202105131733.jpg,0.06,2.67,171.00
202105131833.jpg,0.07,3.09,233.00
202105131933.jpg,0.06,2.32,120.00
202105132033.jpg,0.05,2.16,10.00
202105132133.jpg,0.06,3.04,247.00
202105132233.jpg,0.09,2.52,112.00
202105140033.jpg,0.06,3.00,266.00
202105140133.jpg,0.05,2.92,276.00
202105141133.jpg,0.12,2.81,283.00
202105141233.jpg,0.16,4.97,358.00
202105141333.jpg,0.17,4.09,231.00
202105141433.jpg,0.15,5.73,307.00
202105141533.jpg,0.11,9.66,84.00
202105141633.jpg,0.08,2.13,217.00
202105141733.jpg,0.09,3.09,107.00
202105141833.jpg,0.09,2.37,60.00
202105141933.jpg,0.09,2.25,292.00
202105142033.jpg,0.06,2.27,148.00
202105142133.jpg,0.08,2.16,352.00
202105142233.jpg,0.08,4.98,219.00
202105150033.jpg,0.08,2.87,268.00
202105151433.jpg,0.09,2.08,159.00
202105151533.jpg,0.12,2.41,167.00
202105151633.jpg,0.14,2.12,178.00
202105151733.jpg,0.16,2.69,211.00
202105151833.jpg,0.17,2.78,263.00
202105151933.jpg,0.16,2.05,272.00
202105152133.jpg,0.10,2.15,328.00
202105152233.jpg,0.08,2.86,294.00
202105160033.jpg,0.06,3.23,300.00
202105160133.jpg,0.07,4.44,166.00
202105161133.jpg,0.04,3.32,94.00
202105161233.jpg,0.05,3.63,29.00
202105161333.jpg,0.03,4.13,157.00
202105161433.jpg,0.08,2.27,209.00
202105161533.jpg,0.05,3.50,17.00
202105161633.jpg,0.04,3.19,326.00
202105161733.jpg,0.08,2.36,167.00
202105161833.jpg,0.10,2.17,236.00
202105161933.jpg,0.12,2.99,6.00
202105170033.jpg,0.18,2.42,341.00
202105170133.jpg,0.18,2.51,351.00
202105171133.jpg,0.07,2.42,244.00
202105171233.jpg,0.07,2.32,236.00
202105171333.jpg,0.07,3.54,105.00
202105171433.jpg,0.06,3.41,124.00
202105171533.jpg,0.07,2.54,199.00
202105171633.jpg,0.07,2.38,52.00
202105171733.jpg,0.05,4.20,58.00
202105171833.jpg,0.06,4.13,320.00
202105171933.jpg,0.05,2.90,231.00
202105172033.jpg,0.05,4.20,194.00
202105180033.jpg,0.09,3.82,235.00
202105180133.jpg,0.12,3.54,276.00
202105181233.jpg,0.19,2.06,325.00
202105181333.jpg,0.26,2.25,80.00
202105181533.jpg,0.21,2.17,49.00
202105181833.jpg,0.25,2.02,175.00
202105181933.jpg,0.24,2.08,83.00
202105182033.jpg,0.24,2.06,258.00
202105182133.jpg,0.24,2.17,313.00
202105182233.jpg,0.24,2.04,130.00
202105190133.jpg,0.08,4.69,121.00
202105191433.jpg,0.30,2.14,23.00
202105191533.jpg,0.39,2.41,135.00
202105191633.jpg,0.30,2.57,180.00
202105191733.jpg,0.30,2.21,190.00
202105191833.jpg,0.27,2.24,229.00
202105191933.jpg,0.28,2.45,231.00
202105192033.jpg,0.30,4.38,234.00
202105192133.jpg,0.27,2.27,278.00
202105192233.jpg,0.30,9.22,297.00
202105200033.jpg,0.17,2.64,78.00
202105200133.jpg,0.12,2.26,320.00
202105201733.jpg,0.21,3.99,325.00
202105201833.jpg,0.19,2.12,163.00
202105201933.jpg,0.19,2.11,174.00
202105202033.jpg,0.20,2.15,163.00
202105202133.jpg,0.20,2.18,183.00
202105202233.jpg,0.18,2.14,190.00
202105210033.jpg,0.12,2.38,216.00
202105210133.jpg,0.10,2.20,218.00
202105211433.jpg,0.12,4.01,207.00
202105211533.jpg,0.18,2.73,196.00
202105211633.jpg,0.19,2.25,191.00
202105211733.jpg,0.18,2.46,192.00
202105211833.jpg,0.19,2.32,200.00
202105212033.jpg,0.21,9.52,281.00
202105212133.jpg,0.16,6.70,235.00
202105212233.jpg,0.20,7.84,231.00
202105220033.jpg,0.15,2.29,227.00
202105220133.jpg,0.11,2.04,258.00
202105221133.jpg,0.10,2.44,317.00
202105221233.jpg,0.06,3.99,317.00
202105221333.jpg,0.06,4.05,166.00
202105221433.jpg,0.09,3.91,107.00
202105221533.jpg,0.06,3.52,180.00
202105221633.jpg,0.10,3.91,51.00
202105221733.jpg,0.09,2.19,153.00
202105221833.jpg,0.11,2.95,102.00
202105221933.jpg,0.12,2.20,144.00
202105222033.jpg,0.13,2.04,77.00
202105222133.jpg,0.13,2.27,219.00
202105222233.jpg,0.13,2.45,310.00
202105230033.jpg,0.11,3.96,71.00
202105230133.jpg,0.10,2.61,61.00
202105231133.jpg,0.11,2.13,78.00
202105231233.jpg,0.10,2.64,286.00
202105231333.jpg,0.10,2.26,165.00
202105231433.jpg,0.08,2.04,126.00
202105231533.jpg,0.10,2.16,40.00
202105231633.jpg,0.12,2.06,199.00
202105231733.jpg,0.09,2.15,344.00
202105231833.jpg,0.10,2.66,141.00
202105231933.jpg,0.09,2.23,143.00
202105232033.jpg,0.10,2.55,25.00
202105232133.jpg,0.08,2.67,192.00
202105232233.jpg,0.09,2.92,153.00
202105240033.jpg,0.07,3.13,323.00
202105240133.jpg,0.17,2.23,98.00
202105241133.jpg,0.71,5.87,122.00
202105241233.jpg,0.56,5.92,129.00
202105241333.jpg,0.55,5.42,113.00
202105241433.jpg,0.50,5.85,83.00
202105241533.jpg,0.46,5.66,63.00
202105241633.jpg,0.44,5.61,62.00
202105241733.jpg,0.42,5.42,354.00
202105241833.jpg,0.44,5.23,110.00
202105241933.jpg,0.39,5.04,40.00
202107011633.jpg,0.74,3.85,6.00
202107011733.jpg,0.71,4.35,8.00
202107011833.jpg,0.89,4.12,15.00
202107011933.jpg,1.01,4.37,11.00
202107012033.jpg,1.00,5.15,19.00
202107012133.jpg,1.15,5.34,12.00
202107012233.jpg,1.49,5.73,6.00
202107020033.jpg,1.70,6.31,11.00
